nama_dosen,bidang,article_id,judul,authors,link_artikel,nama_jurnal,tahun,citation
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,Y0pCki6q_DkC,ANALISA UNJUK KERJA LIGHTNING ARRESTER TERHADAP GANGGUAN HUBUNG SINGKAT,JFD HAMRA,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:Y0pCki6q_DkC,"Fakultas Teknologi Industri UNISSULA, 2017",2017,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,IjCSPb-OGe4C,ANALISA UNJUK KERJA RANCANGAN GENERATOR MAGNET PERMANEN 3 FASA PUTARAN 750 RPM MENGGUNAKAN MOTOR INDUKSI,ANUR HALIMI,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:IjCSPb-OGe4C,"Fakultas Teknologi Industri UNISSULA, 2017",2017,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,rO6llkc54NcC,Pelaksanaan manajemen energi sistem tenaga listrik pada PT. Tanjung Permai Lestari Semarang,AA NUGROHO,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:rO6llkc54NcC,"Universitas Gadjah Mada, 2007",2007,
"Jenny Putri Hapsari, ST, MT",Teknik Elektro,Se3iqnhoufwC,Pembuatan dan pendampingan pengelolaan website sekolah KB-TK Hj. Isriati Baiturrahman 1 Semarang,"JP Hapsari, M Khosyi'in, B Badie'ah",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=wDqwEl0AAAAJ&pagesize=100&citation_for_view=wDqwEl0AAAAJ:Se3iqnhoufwC,"Indonesian Journal of Community Services 4 (1), 22-30, 2022",2022,21
"Jenny Putri Hapsari, ST, MT",Teknik Elektro,d1gkVwhDpl0C,Pemanfaatan E-Ktp Untuk Pengaktifan Sepeda Motor Berbasis Arduino UNO,"AAS Negara, U Najib, JP Hapsari",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=wDqwEl0AAAAJ&pagesize=100&citation_for_view=wDqwEl0AAAAJ:d1gkVwhDpl0C,"TRANSISTOR Elektro dan Informatika 2 (1), 15-20, 2017",2017,14
"Jenny Putri Hapsari, ST, MT",Teknik Elektro,u5HHmVD_uO8C,Aplikasi Pengenalan Suara dalam Pengaksesan Sistem Informasi Akademik,"JP Hapsari, W Wahyudi, A Hidayatno",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=wDqwEl0AAAAJ&pagesize=100&citation_for_view=wDqwEl0AAAAJ:u5HHmVD_uO8C,"Jurusan Teknik Elektro Fakultas Teknik Undip, 2011",2011,13
"Jenny Putri Hapsari, ST, MT",Teknik Elektro,UeHWp8X0CEIC,Desain dan Implementasi Akuisisi Data Suhu Murid Sekolah Berbasis Arduino Untuk Monitoring Kesehatan Komunal,"M Ismail, AD Prasetyowati, JP Hapsari",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=wDqwEl0AAAAJ&pagesize=100&citation_for_view=wDqwEl0AAAAJ:UeHWp8X0CEIC,"Jurnal Nasional Teknik Elektro, 58–64-58–64, 2019",2019,7
"Jenny Putri Hapsari, ST, MT",Teknik Elektro,_kc_bZDykSQC,Pemberdayaan Kelompok Tani Green House Desa Manggihan Getasan melalui Penerapan Smart Farming Menggunakan Energi Terbarukan,"M Ismail, B Arifin, AA Nugroho, BP Jati, JP Hapsari",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=wDqwEl0AAAAJ&pagesize=100&citation_for_view=wDqwEl0AAAAJ:_kc_bZDykSQC,"Indonesian Journal of Community Services 6 (1), 8-15, 2024",2024,5
"Jenny Putri Hapsari, ST, MT",Teknik Elektro,LkGwnXOMwfcC,Embedded Alcohol Sensing Design And Analysis For Air Samples,"M Ismail, A Marwanto, JP Hapsari, M Haddin",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=wDqwEl0AAAAJ&pagesize=100&citation_for_view=wDqwEl0AAAAJ:LkGwnXOMwfcC,"2021 8th International Conference on Electrical Engineering, Computer …, 2021",2021,5
"Jenny Putri Hapsari, ST, MT",Teknik Elektro,kNdYIx-mwKoC,Analisis Peralatan Persinyalan Kereta Api dengan Persinyalan Elektrik Silsafe4000 Di Stasiun Lempuyangan Yogyakarta,"BS Wibawanto, JP Hapsari, A Suprajitno, T Arifianto",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=wDqwEl0AAAAJ&pagesize=100&citation_for_view=wDqwEl0AAAAJ:kNdYIx-mwKoC,"Jurnal Perkeretaapian Indonesia (Indonesian Railway Journal) 6 (2), 42-48, 2022",2022,4
"Jenny Putri Hapsari, ST, MT",Teknik Elektro,5nxA0vEk-isC,Design and Build a Water Pump Protection Tool Using IOT (Internet Of Things) Based Water Flow Sensor,"M Faishol, M Ismail, JP Hapsari",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=wDqwEl0AAAAJ&pagesize=100&citation_for_view=wDqwEl0AAAAJ:5nxA0vEk-isC,"Journal of Applied Science and Technology 2 (02), 16-27, 2022",2022,4
"Jenny Putri Hapsari, ST, MT",Teknik Elektro,Y0pCki6q_DkC,Link Budget Analisis Fiber To The Home Pada Wilayah Resisdensial Untuk Perancangan Yang Efektif Dan Efisien Di Puri Anjasmoro Kecamatan Semarang Barat Menggunakan Teknologi Gpon,"F Ilhamirosa, JP Hapsari, M Ismail",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=wDqwEl0AAAAJ&pagesize=100&citation_for_view=wDqwEl0AAAAJ:Y0pCki6q_DkC,"Prosiding Konstelasi Ilmiah Mahasiswa Unissula (KIMU) Klaster Engineering, 2019",2019,4
"Jenny Putri Hapsari, ST, MT",Teknik Elektro,qjMakFHDy7sC,An analysis of intelligent LED emergency lamp with voltage and resistance activated sensor,"EN Budisusila, JP Hapsari",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=wDqwEl0AAAAJ&pagesize=100&citation_for_view=wDqwEl0AAAAJ:qjMakFHDy7sC,"IOP Conference Series: Materials Science and Engineering 403 (1), 012030, 2018",2018,4
